Vernier Format 2
Logger_Pro_Pendulum_Data.cmbl 4/6/2024 15:57:22 .
VideoAnalysis
Time	X	Y	X Velocity	Y Velocity
t	X	Y	Vx	Vy
s				

6.319	376.882545717	383.934624455	471.141744991	-126.844148303
6.353	390.408060806	378.239670733	484.41803633	-141.081754737
6.386	406.781052756	374.680324657	554.360244394	-155.181082256
6.419	427.425259997	367.561632505	611.736351686	-155.850943243
6.452	448.781336454	362.578547998	632.427642644	-107.36948886
6.486	470.137412911	361.866678783	642.673998339	-90.6671743639
6.519	489.357881722	356.171725061	712.50744838	-60.9715415162
6.552	517.83265033	356.171725061	759.780900454	10.781436872
6.585	542.036203648	357.595463492	734.298005047	65.751262747
6.619	568.375364611	361.154809568	668.052837237	103.712370052
6.652	586.172094992	364.714155644	611.502386923	131.313027112
6.685	606.816302233	370.409109366	602.172991324	142.008906673
6.718	627.460509474	373.968455442	553.519918408	151.150406304
6.752	645.257239855	380.375278379	472.656740249	162.207880639
6.785	658.070885729	386.0702321	412.391535194	140.97570099
6.818	671.596400818	388.917708961	374.229364174	136.207798225
6.852	684.410046692	395.324531898	302.852591953	123.818695406
6.885	692.240608059	398.172008759	218.426582856	87.7112404238
6.918	699.359300212	401.01948562	115.134181316	51.2820753717
6.951	699.359300212	401.01948562	24.3152234971	24.8625200977
6.985	700.783038642	403.155093266	-59.295303952	-11.9016937215
7.018	695.799954135	401.01948562	-151.0106705	-68.0991543364
7.051	690.105000414	397.460139544	-220.812861232	-93.7018737007
7.084	680.850700616	394.612662683	-280.339432815	-112.050279777
7.118	670.884531603	390.341447392	-326.073222273	-133.936255757
7.151	660.206493374	385.358362885	-403.987807067	-147.446864096
7.184	643.833501424	379.663409163	-659.771822136	-189.340542815
7.217	628.884247905	376.815932303	-1319.95841294	-358.315615102
7.251	607.528171448	371.120978581	-3275.68027982	-911.201592528
7.284	364.41764421	302.868392377	-5464.94017953	-1530.01999723
